"Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Flows"
"10.122.232.249,60435,""54.169.4.174"",80,4,248,27,2,124,2,124,27.507174,0.09291999999999945,10675,10675,2"
"10.122.232.249,60451,""134.224.4.39"",443,3,214,17,2,136,1,78,11.904309,0.326194000000001,3335,1912,2"
"10.122.232.249,60452,""134.224.4.138"",443,9,1080,0,5,713,4,367,0,34.480646,165,85,4"
"54.169.5.36,80,""10.122.232.249"",60434,4,248,28,2,124,2,124,27.546304,0.3599029999999992,2756,2756,2"
"2407:30c0:182::aa72:3464,443,""2409:40f4:411a:6519:9c1b:b691:e5b1:9476"",60454,6,444,1,3,222,3,222,3.372653,30.448093999999998,58,58,0"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,60679,""2001:4860:4802:34::9d"",443,26,10842,5,13,3019,13,7823,7.129839,0.34774300000000036,69453,179971,7"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,53621,""2001:4860:4802:36::223"",443,40,15110,16,18,6211,22,8899,11.274729,0.3443329999999989,144302,206753,9"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,61238,""2404:6800:4000:1025::5b"",443,1014,1024981,8,227,21432,787,1003549,8.588575,1.3141599999999993,130468,6109143,11"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,49219,""2404:6800:4002:804::2008"",443,17,10078,4,8,2444,9,7634,6.6469190000000005,0.30679499999999926,63729,199064,4"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,61266,""2404:6800:4002:807::200e"",443,16,9393,2,7,2340,9,7053,4.376005,0.2952899999999996,63395,191079,4"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,53235,""2404:6800:4002:80b::2003"",443,71,56020,10,25,4530,46,51490,9.051723,0.5791139999999988,62578,711293,7"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,54790,""2404:6800:4002:80e::2006"",443,25,11765,12,11,3484,14,8281,10.048029,0.3179680000000005,87656,208348,5"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,56505,""2404:6800:4002:81c::2003"",443,52,29928,14,20,4134,32,25794,10.32336,0.5429050000000011,60916,380088,9"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,54789,""2404:6800:4002:821::2003"",443,2,161,26,1,75,1,86,21.439974,0.09280700000000053,6465,7413,1"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,49985,""2404:6800:4002:82a::2002"",443,16,9715,13,7,2405,9,7310,10.071363,0.28891300000000086,66594,202413,4"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,60619,""2404:6800:4002:831::2004"",443,51,36533,15,19,4212,32,32321,10.548248,0.3718520000000005,90616,695351,7"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,57337,""2404:6800:4003:c02::77"",443,17,9902,11,8,2463,9,7439,9.068145,0.3544280000000004,55593,167909,4"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,59321,""2404:6800:4003:c06::bc"",443,2,161,29,1,75,1,86,33.781568,0.08427900000000221,7119,8163,1"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,65317,""2404:6800:4009:826::200e"",443,19,12164,7,8,2435,11,9729,8.263203,0.2445069999999987,79670,318322,4"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,63867,""2603:1030:a0b::254"",443,4,296,23,2,148,2,148,19.766046,0.04465599999999981,26513,26513,0"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,59628,""2603:1061:10:1::254"",443,6,444,24,3,222,3,222,19.766245,0.09824199999999905,18077,18077,0"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,53115,""2620:1ec:33::11"",443,18,4732,6,9,3269,9,1463,7.989919,0.18306100000000036,142859,63934,6"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,53137,""2a03:2880:f368:120:face:b00c:0:167"",443,4,438,20,2,218,2,220,16.940697,0.31122600000000133,5603,5655,2"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,65182,""64:ff9b::284a:51c6"",443,38,20803,9,16,7291,22,13512,8.68521,0.6919160000000009,84299,156227,6"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,54829,""64:ff9b::68d0:105b"",443,20,10752,19,10,3368,10,7384,12.620457,1.0963340000000006,24576,53881,6"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,58193,""64:ff9b::68d0:105b"",443,56,35586,18,33,26873,23,8713,12.363718,1.489604,144322,46793,10"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,64376,""64:ff9b::cc4f:c5de"",443,4,298,25,2,148,2,150,19.766387,0.055190999999997103,21452,21742,0"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,55514,""64:ff9b::d6b:4fe"",443,4,298,22,2,148,2,150,19.765683,0.045420000000000016,26067,26420,0"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,55338,""64:ff9b::d83a:c462"",443,16,9511,3,7,2434,9,7077,6.183122,0.2921389999999997,66653,193798,4"
"2603:1063:10::23,443,""2409:40f4:411a:6519:9c1b:b691:e5b1:9476"",53157,7,1622,21,4,462,3,1160,18.092536,0.25679600000000136,14392,36137,4"
